link,name,event,start,end,hours,zero_hours,treated_hours,blocks,windows,blocks_with_window,weight,weight_plus,weight_minus,confirmed,source,type,message_coverage,directions,both_directions_coverage,message_ids,note,remit_frozen
GB-NL,BritNed,10,2023-09-18,2023-09-22,107,107,105,1,4,1,0.028312205510270094,0.055230247439669734,0.014072154339813412,True,Nord Pool UMM,planned,1.0,GB>NL;NL>GB,1.0,ebe903c6-dbb8-4109-91bd-46efdb3eab37,,unclassified
GB-NL,BritNed,11,2024-07-01,2024-08-10,948,941,940,6,3,2,0.38628372380110515,0.4632506313316033,0.18280201916044642,True,Nord Pool UMM,unplanned,1.0,GB>NL;NL>GB,1.0,9edad99d-50d7-4362-8214-87fb26b4827d;3a3294a8-0002-4746-b9a4-f157cee4e52a,,unclassified
GB-NL,BritNed,12,2024-12-06,2025-01-18,1031,989,985,6,7,3,0.16093732045907388,0.14394763863921287,0.1804069369823761,True,Nord Pool UMM,unplanned,1.0,GB>NL;NL>GB,1.0,1c438bce-e15d-421e-a23d-0e48d25ece0a;8d0d4496-6bbc-43c4-9dc2-922e66da2b74,,unclassified
GB-NL,BritNed,13,2025-01-22,2025-01-27,107,107,107,1,5,1,0.017773065786806628,0.006772419578642025,0.025324606518685632,True,Nord Pool UMM,unplanned,1.0,GB>NL;NL>GB,1.0,1c438bce-e15d-421e-a23d-0e48d25ece0a;8d0d4496-6bbc-43c4-9dc2-922e66da2b74,,unclassified
GB-NL,BritNed,14,2025-05-13,2025-05-16,82,79,79,1,5,1,0.03465960560226737,0.03474540691543551,0.01832635805793317,True,Nord Pool UMM,planned,1.0,GB>NL;NL>GB,1.0,ca3c5bda-988b-4c41-a8f7-6b2c1503bc19;8e91caf7-e98c-4feb-b498-390473f1c068,,unclassified
GB-NL,BritNed,15,2025-09-15,2025-09-21,158,158,157,1,0,0,0.02969249975289407,0.045892161047203305,0.01525794552891864,True,Nord Pool UMM,planned,1.0,GB>NL;NL>GB,1.0,eacc629a-d199-41fe-bd36-17dd0d0edb2f;9413d893-6288-4870-ac14-c99b60871e90;f6dee993-3626-4fce-b8d8-c8ee0580f589;573a18fb-2818-4742-ab33-8049f02dce8a,,unclassified
GB-NL,BritNed,16,2026-05-11,2026-05-15,107,107,107,1,2,1,0.03531274800089535,0.028056402369898356,0.02449387751379454,True,Nord Pool UMM,planned,1.0,GB>NL;NL>GB,1.0,52835e01-261a-4781-8b9b-8c53da0f1f48;a9eb6716-fe16-47b8-87b5-3dcea99a5860,,unclassified
GB-BE,Nemo Link,0,2019-04-08,2019-04-09,35,35,35,1,5,1,0.003741462708018046,0.0015081503650300687,0.010111976628734438,True,Elexon REMIT,planned,1.0,BE>GB;GB>BE,1.0,10X1001C--00004R-ELXP-RMT-00000007;10X1001C--00004R-ELXP-RMT-00000006,,Planned
GB-BE,Nemo Link,1,2019-07-01,2019-07-08,181,181,168,1,5,1,0.031235846351015045,0.012590892052819894,0.08442049886086443,True,Elexon REMIT,unplanned,1.0,BE>GB;GB>BE,0.873,10X1001C--00004R-ELXP-RMT-00000016;10X1001C--00004R-ELXP-RMT-00000017,,Unplanned
GB-BE,Nemo Link,2,2019-09-23,2019-09-26,87,87,82,1,4,1,0.03578573317081141,0.014424910992368907,0.09671738721059202,True,Elexon REMIT,planned,1.0,BE>GB;GB>BE,1.0,10X1001C--00004R-ELXP-RMT-00000003;10X1001C--00004R-ELXP-RMT-00000002,,Planned
GB-BE,Nemo Link,3,2020-09-21,2020-09-23,62,61,0,0,0,0,0.0,0.0,0.0,True,Elexon REMIT,planned,1.0,BE>GB;GB>BE,1.0,10X1001C--00004R-ELXP-RMT-00000023;10X1001C--00004R-ELXP-RMT-00000024,,Planned
GB-BE,Nemo Link,4,2021-09-21,2021-09-24,76,76,76,1,5,1,0.05183409898349489,0.013141571090438205,0.11179274168443337,True,Elexon REMIT,planned,1.0,BE>GB;GB>BE,1.0,10X1001C--00004R-ELXP-RMT-49033796;10X1001C--00004R-ELXP-RMT-20102840,,Planned
GB-BE,Nemo Link,5,2022-09-20,2022-09-22,56,56,0,0,0,0,0.0,0.0,0.0,True,Elexon REMIT,planned,1.0,BE>GB;GB>BE,1.0,10X1001C--00004R-ELXP-RMT-56511921;10X1001C--00004R-ELXP-RMT-20102808,,Planned
GB-BE,Nemo Link,6,2023-02-08,2023-02-10,62,62,61,1,5,1,0.02136419729817719,0.006805276743662711,0.03769475247734912,True,Elexon REMIT,planned,0.952,BE>GB;GB>BE,0.952,10X1001C--00004R-ELXP-RMT-20683333;10X1001C--00004R-ELXP-RMT-23011559,,Planned
GB-BE,Nemo Link,7,2023-09-25,2023-10-06,274,271,265,2,6,2,0.6890136322679982,0.9002098534688141,0.3046939940021065,True,Elexon REMIT,planned,1.0,BE>GB;GB>BE,1.0,10X1001C--00004R-ELXP-RMT-93143866;10X1001C--00004R-ELXP-RMT-22011001,,Planned
GB-BE,Nemo Link,8,2024-09-23,2024-09-27,108,108,104,1,5,1,0.08703376169818246,0.028281360257744644,0.20482574152444505,True,Elexon REMIT,planned,1.0,BE>GB;GB>BE,1.0,10X1001C--00004R-ELXP-RMT-24092923;10X1001C--00004R-ELXP-RMT-24092307,,Planned
GB-BE,Nemo Link,9,2025-09-22,2025-09-26,110,110,106,1,1,1,0.07999126752230278,0.023037985029121518,0.14974290761147502,True,Elexon REMIT,planned,1.0,BE>GB;GB>BE,1.0,10X1001C--00004R-ELXP-RMT-25092823;10X1001C--00004R-ELXP-RMT-25092207,,Planned
DE-SE,Baltic Cable,0,2023-09-06,2023-09-15,230,228,227,2,9,2,0.0334510314027094,0.027312359308792795,0.094708866669614,True,Nord Pool UMM,planned,0.978,DE>SE;SE>DE,0.978,f654310a-a8bf-4bac-a0cd-23d144746c50,,
DE-SE,Baltic Cable,1,2023-11-15,2023-11-16,30,30,29,1,5,1,0.003872033461919209,0.003161468114225039,0.010962768127247877,False,,,0.0,,0.0,,,
DE-SE,Baltic Cable,2,2023-12-07,2023-12-08,38,38,38,1,5,1,0.02856819408804084,0.05398578872631423,0.00979299060304179,False,,,0.0,,0.0,,,
DE-SE,Baltic Cable,3,2024-01-08,2024-01-09,25,25,25,1,5,1,0.005015062266217067,0.002358120791503034,0.007489126499006264,False,,,0.0,,0.0,,,
DE-SE,Baltic Cable,4,2024-03-24,2024-03-25,26,26,25,1,5,1,0.0028337267412732463,0.002313703335745894,0.008023042544979049,False,,,0.0,,0.0,,,
DE-SE,Baltic Cable,5,2024-04-18,2024-04-19,26,26,0,0,0,0,0.0,0.0,0.0,False,,,0.0,,0.0,,,
DE-SE,Baltic Cable,6,2024-04-22,2024-04-25,81,63,0,0,0,0,0.0,0.0,0.0,False,,,0.0,,0.0,,,
DE-SE,Baltic Cable,7,2024-06-25,2024-06-27,33,33,33,1,5,1,0.0020765717591533137,0.0016954955240002989,0.005879333151192691,False,,,0.0,,0.0,,,
DE-SE,Baltic Cable,8,2024-07-10,2024-07-11,40,40,40,1,5,1,0.0016672966131436298,0.0013613273571236953,0.004720565136898266,False,,,0.0,,0.0,,,
DE-SE,Baltic Cable,9,2024-08-05,2024-08-06,28,28,28,1,5,1,0.0013559646709605446,0.001107128622058085,0.0038391006747943695,False,,,0.0,,0.0,,,
DE-SE,Baltic Cable,10,2024-09-09,2024-09-27,441,440,0,0,0,0,0.0,0.0,0.0,True,Nord Pool UMM,planned,0.995,DE>SE;SE>DE,0.995,8ea52183-b0ec-4311-a005-c292090e36c7;3918d056-d5ec-4a04-8613-624bb6f3594c,,
DE-SE,Baltic Cable,11,2025-02-06,2025-02-07,30,30,30,1,5,1,0.004895345045606978,0.003996989546196981,0.013860038443795025,False,,,0.0,,0.0,,,
DE-SE,Baltic Cable,12,2025-02-24,2025-03-05,220,220,220,2,6,2,0.05442289698252273,0.039899774283643115,0.14499915404168032,True,Nord Pool UMM,planned,1.0,DE>SE;SE>DE,1.0,671eb243-f56e-49cc-bb0c-24a81f307814;df6d31d0-d5ed-4c07-9a5d-f368f57fb47e,,
DE-SE,Baltic Cable,13,2025-05-19,2025-05-23,107,107,0,0,0,0,0.0,0.0,0.0,True,Nord Pool UMM,planned,1.0,DE>SE;SE>DE,1.0,6f906881-bfcf-4ab1-89be-2297e8e78cae,,
DE-SE,Baltic Cable,14,2025-10-04,2025-10-05,39,39,37,1,5,1,0.008653083253316155,0.014118964048367051,0.009243963168074604,False,,,0.0,,0.0,,,
DE-SE,Baltic Cable,15,2025-11-25,2025-11-26,26,26,0,0,0,0,0.0,0.0,0.0,False,,,0.0,,0.0,,,
DE-SE,Baltic Cable,16,2026-02-16,2026-02-20,100,100,0,0,0,0,0.0,0.0,0.0,True,Nord Pool UMM,planned,1.0,DE>SE;SE>DE,1.0,89e87eef-4adc-463f-b9f6-489d78799d09,,
DE-SE,Baltic Cable,17,2026-04-19,2026-05-22,790,789,500,3,12,3,0.2870982945973655,0.33834084217112015,0.2098085805812243,True,Nord Pool UMM,unplanned,1.0,DE>SE;SE>DE,1.0,ae1d33d3-7a8c-47fb-9ccd-aa80a8e37833;55bfc7f7-15e6-4948-83c9-06afed14110b;3ff2be12-288e-4a06-8b23-65109e38f3d6;ffdd61c1-a1c7-4e59-8852-82626f7c4212;43152dde-1242-4b2f-98b6-13edca0fb18b,,
DE-SE,Baltic Cable,18,2026-06-21,2026-08-31,1712,1706,1344,8,0,0,0.5660904991177714,0.5103480381709097,0.47667247035845123,True,Nord Pool UMM,unplanned,1.0,DE>SE;SE>DE,1.0,aad325e0-cb1e-4ff2-8258-c496849aba58;e911027b-e42e-460b-b860-705a07ab5db7,,
GR-IT,GRITA,0,2023-10-03,2023-10-04,34,34,34,1,5,1,0.003640356707612105,0.0048602827369066195,0.001052003435693597,False,,,0.0,,0.0,,,
GR-IT,GRITA,1,2023-10-31,2023-11-29,704,704,704,5,17,4,0.10696247185370768,0.11281770962720607,0.0800037871725121,False,,,0.0,,0.0,,,
GR-IT,GRITA,2,2024-05-27,2024-06-23,657,657,653,4,7,3,0.12496727467849449,0.09345007067978266,0.14282204638507812,False,,,0.0,,0.0,,,
